"candidate_id","name_zh","wikidata_id","discovery_categories","discovery_source","already_in_corpus","candidate_status","retrieved_at"
"Q11097029","李棠階","Q11097029","中国哲学家","https://zh.wikipedia.org/wiki/%E6%9D%8E%E6%A3%A0%E9%9A%8E","false","awaiting-scope-review","2026-07-17"
"Q8981984","李幼蒸","Q8981984","中国哲学家","https://zh.wikipedia.org/wiki/%E6%9D%8E%E5%B9%BC%E8%92%B8","false","awaiting-scope-review","2026-07-17"
"Q698177","李贽","Q698177","明朝思想家","https://zh.wikipedia.org/wiki/%E6%9D%8E%E8%B4%BD","true","already-included","2026-07-17"
"Q11096045","李宗吾","Q11096045","清朝思想家","https://zh.wikipedia.org/wiki/%E6%9D%8E%E5%AE%97%E5%90%BE","false","awaiting-scope-review","2026-07-17"
"Q379836","梁启超","Q379836","中国思想家;中国政治哲学家","https://zh.wikipedia.org/wiki/%E6%A2%81%E5%90%AF%E8%B6%85","true","already-included","2026-07-17"
"Q1167488","梁漱溟","Q1167488","中国思想家;中国哲学家","https://zh.wikipedia.org/wiki/%E6%A2%81%E6%BC%B1%E6%BA%9F","true","already-included","2026-07-17"
"Q11106647","林白水","Q11106647","中国思想家","https://zh.wikipedia.org/wiki/%E6%9E%97%E7%99%BD%E6%B0%B4","false","awaiting-scope-review","2026-07-17"
"Q15904839","林庚白","Q15904839","中国思想家","https://zh.wikipedia.org/wiki/%E6%9E%97%E5%BA%9A%E7%99%BD","false","awaiting-scope-review","2026-07-17"
"Q184999","林则徐","Q184999","中国思想家","https://zh.wikipedia.org/wiki/%E6%9E%97%E5%88%99%E5%BE%90","false","awaiting-scope-review","2026-07-17"
"Q10876140","林长民","Q10876140","中国思想家","https://zh.wikipedia.org/wiki/%E6%9E%97%E9%95%BF%E6%B0%91","false","awaiting-scope-review","2026-07-17"
"Q6653442","刘伯明 (哲学家)","Q6653442","中国哲学家","https://zh.wikipedia.org/wiki/%E5%88%98%E4%BC%AF%E6%98%8E_(%E5%93%B2%E5%AD%A6%E5%AE%B6)","false","awaiting-scope-review","2026-07-17"
"Q15902371","刘纲纪","Q15902371","中国哲学家","https://zh.wikipedia.org/wiki/%E5%88%98%E7%BA%B2%E7%BA%AA","false","awaiting-scope-review","2026-07-17"
"Q8461031","刘华杰","Q8461031","中国哲学家","https://zh.wikipedia.org/wiki/%E5%88%98%E5%8D%8E%E6%9D%B0","false","awaiting-scope-review","2026-07-17"
"Q6852590","劉師培","Q6852590","中国思想家","https://zh.wikipedia.org/wiki/%E5%8A%89%E5%B8%AB%E5%9F%B9","false","awaiting-scope-review","2026-07-17"
"Q10816714","劉宗周","Q10816714","中国思想家","https://zh.wikipedia.org/wiki/%E5%8A%89%E5%AE%97%E5%91%A8","false","awaiting-scope-review","2026-07-17"
"Q10566989","鲁胜","Q10566989","中国逻辑学家;中国哲学家","https://zh.wikipedia.org/wiki/%E9%B2%81%E8%83%9C","false","awaiting-scope-review","2026-07-17"
"Q23114","鲁迅","Q23114","中国思想家","https://zh.wikipedia.org/wiki/%E9%B2%81%E8%BF%85","false","awaiting-scope-review","2026-07-17"
"Q2466384","陸九淵","Q2466384","中国思想家","https://zh.wikipedia.org/wiki/%E9%99%B8%E4%B9%9D%E6%B7%B5","false","awaiting-scope-review","2026-07-17"
"Q366120","吕不韦","Q366120","中国思想家;中国哲学家","https://zh.wikipedia.org/wiki/%E5%90%95%E4%B8%8D%E9%9F%A6","true","already-included","2026-07-17"
"Q10918321","吕坤","Q10918321","中国哲学家","https://zh.wikipedia.org/wiki/%E5%90%95%E5%9D%A4","false","awaiting-scope-review","2026-07-17"
"Q836027","吕留良","Q836027","中国思想家","https://zh.wikipedia.org/wiki/%E5%90%95%E7%95%99%E8%89%AF","false","awaiting-scope-review","2026-07-17"
"Q13645456","呂才","Q13645456","中国哲学家","https://zh.wikipedia.org/wiki/%E5%91%82%E6%89%8D","false","awaiting-scope-review","2026-07-17"
"Q4272132","呂祖謙","Q4272132","中国思想家;中国哲学家","https://zh.wikipedia.org/wiki/%E5%91%82%E7%A5%96%E8%AC%99","false","awaiting-scope-review","2026-07-17"
"Q97186704","罗国杰","Q97186704","中国伦理学家","https://zh.wikipedia.org/wiki/%E7%BD%97%E5%9B%BD%E6%9D%B0","false","awaiting-scope-review","2026-07-17"
"Q1877544","罗钦顺","Q1877544","中国哲学家","https://zh.wikipedia.org/wiki/%E7%BD%97%E9%92%A6%E9%A1%BA","false","awaiting-scope-review","2026-07-17"
"Q11608582","羅從彥","Q11608582","中国思想家","https://zh.wikipedia.org/wiki/%E7%BE%85%E5%BE%9E%E5%BD%A5","false","awaiting-scope-review","2026-07-17"
"Q5816","毛泽东","Q5816","中国政治哲学家;中华民国大陆时期思想家","https://zh.wikipedia.org/wiki/%E6%AF%9B%E6%B3%BD%E4%B8%9C","true","already-included","2026-07-17"
"Q188903","孟子","Q188903","中国思想家;中国哲学家;中国政治哲学家","https://zh.wikipedia.org/wiki/%E5%AD%9F%E5%AD%90","true","already-included","2026-07-17"
"Q272411","墨子","Q272411","中国逻辑学家;中国思想家;中国政治哲学家","https://zh.wikipedia.org/wiki/%E5%A2%A8%E5%AD%90","true","already-included","2026-07-17"
"Q45525543","歐榘甲","Q45525543","清朝思想家","https://zh.wikipedia.org/wiki/%E6%AD%90%E6%A6%98%E7%94%B2","false","awaiting-scope-review","2026-07-17"
"Q15942209","潘梓年","Q15942209","中国哲学家","https://zh.wikipedia.org/wiki/%E6%BD%98%E6%A2%93%E5%B9%B4","false","awaiting-scope-review","2026-07-17"
"Q7267602","钱德洪","Q7267602","中国哲学家","https://zh.wikipedia.org/wiki/%E9%92%B1%E5%BE%B7%E6%B4%AA","true","already-included","2026-07-17"
"Q45463549","黔婁","Q45463549","中国思想家;中国哲学家","https://zh.wikipedia.org/wiki/%E9%BB%94%E5%A9%81","false","awaiting-scope-review","2026-07-17"
"Q8461494","强世功","Q8461494","中国政治哲学家","https://zh.wikipedia.org/wiki/%E5%BC%BA%E4%B8%96%E5%8A%9F","false","awaiting-scope-review","2026-07-17"
"Q7267945","邱仁宗","Q7267945","中国哲学家","https://zh.wikipedia.org/wiki/%E9%82%B1%E4%BB%81%E5%AE%97","false","awaiting-scope-review","2026-07-17"
"Q840352","冉求","Q840352","中国思想家","https://zh.wikipedia.org/wiki/%E5%86%89%E6%B1%82","false","awaiting-scope-review","2026-07-17"
"Q20062619","任剑涛","Q20062619","中国政治哲学家","https://zh.wikipedia.org/wiki/%E4%BB%BB%E5%89%91%E6%B6%9B","false","awaiting-scope-review","2026-07-17"
"Q351345","商鞅","Q351345","中国政治哲学家","https://zh.wikipedia.org/wiki/%E5%95%86%E9%9E%85","true","already-included","2026-07-17"
"Q11643050","邵懿辰","Q11643050","清朝思想家","https://zh.wikipedia.org/wiki/%E9%82%B5%E6%87%BF%E8%BE%B0","false","awaiting-scope-review","2026-07-17"
"Q722288","邵雍","Q722288","中国思想家","https://zh.wikipedia.org/wiki/%E9%82%B5%E9%9B%8D","true","already-included","2026-07-17"
"Q17028786","沈有鼎","Q17028786","中国逻辑学家","https://zh.wikipedia.org/wiki/%E6%B2%88%E6%9C%89%E9%BC%8E","false","awaiting-scope-review","2026-07-17"
"Q947699","慎到","Q947699","周朝哲学家","https://zh.wikipedia.org/wiki/%E6%85%8E%E5%88%B0","true","already-included","2026-07-17"
"Q10948100","壽富","Q10948100","中国思想家","https://zh.wikipedia.org/wiki/%E5%A3%BD%E5%AF%8C","false","awaiting-scope-review","2026-07-17"
"Q16077193","舒璘","Q16077193","中国哲学家","https://zh.wikipedia.org/wiki/%E8%88%92%E7%92%98","false","awaiting-scope-review","2026-07-17"
"Q69395152","宋紫佩","Q69395152","中国思想家","https://zh.wikipedia.org/wiki/%E5%AE%8B%E7%B4%AB%E4%BD%A9","false","awaiting-scope-review","2026-07-17"
"Q85353585","孙叔平","Q85353585","中国哲学家","https://zh.wikipedia.org/wiki/%E5%AD%99%E5%8F%94%E5%B9%B3","false","awaiting-scope-review","2026-07-17"
"Q37151","孙武","Q37151","中国政治哲学家","https://zh.wikipedia.org/wiki/%E5%AD%99%E6%AD%A6","true","already-included","2026-07-17"
"Q10945554","孫景烈","Q10945554","中国思想家","https://zh.wikipedia.org/wiki/%E5%AD%AB%E6%99%AF%E7%83%88","false","awaiting-scope-review","2026-07-17"
"Q8573","孫中山","Q8573","中国政治哲学家","https://zh.wikipedia.org/wiki/%E5%AD%AB%E4%B8%AD%E5%B1%B1","false","awaiting-scope-review","2026-07-17"
"Q1191225","谭嗣同","Q1191225","清朝思想家","https://zh.wikipedia.org/wiki/%E8%B0%AD%E5%97%A3%E5%90%8C","true","already-included","2026-07-17"
"Q111015285","唐世平","Q111015285","中国政治哲学家","https://zh.wikipedia.org/wiki/%E5%94%90%E4%B8%96%E5%B9%B3","false","awaiting-scope-review","2026-07-17"
"Q15898893","唐元","Q15898893","中国思想家","https://zh.wikipedia.org/wiki/%E5%94%90%E5%85%83","false","awaiting-scope-review","2026-07-17"
"Q2372474","唐甄","Q2372474","清朝思想家","https://zh.wikipedia.org/wiki/%E5%94%90%E7%94%84","false","awaiting-scope-review","2026-07-17"
"Q10922528","唐仲友","Q10922528","中国思想家","https://zh.wikipedia.org/wiki/%E5%94%90%E4%BB%B2%E5%8F%8B","false","awaiting-scope-review","2026-07-17"
"Q98940268","陶文楼","Q98940268","中国逻辑学家","https://zh.wikipedia.org/wiki/%E9%99%B6%E6%96%87%E6%A5%BC","false","awaiting-scope-review","2026-07-17"
"Q111446158","万俊人","Q111446158","中国政治哲学家","https://zh.wikipedia.org/wiki/%E4%B8%87%E4%BF%8A%E4%BA%BA","false","awaiting-scope-review","2026-07-17"
"Q3503449","汪晖","Q3503449","中国思想家","https://zh.wikipedia.org/wiki/%E6%B1%AA%E6%99%96","true","already-included","2026-07-17"
"Q459865","王弼","Q459865","中国哲学家","https://zh.wikipedia.org/wiki/%E7%8E%8B%E5%BC%BC","true","already-included","2026-07-17"
"Q116227095","王方名","Q116227095","中国逻辑学家","https://zh.wikipedia.org/wiki/%E7%8E%8B%E6%96%B9%E5%90%8D","false","awaiting-scope-review","2026-07-17"
"Q714374","王夫之","Q714374","明朝思想家","https://zh.wikipedia.org/wiki/%E7%8E%8B%E5%A4%AB%E4%B9%8B","true","already-included","2026-07-17"
"Q290825","王符","Q290825","中国思想家","https://zh.wikipedia.org/wiki/%E7%8E%8B%E7%AC%A6","true","already-included","2026-07-17"
"Q707977","王浩 (数学家)","Q707977","中国逻辑学家","https://zh.wikipedia.org/wiki/%E7%8E%8B%E6%B5%A9_(%E6%95%B0%E5%AD%A6%E5%AE%B6)","false","awaiting-scope-review","2026-07-17"
"Q11573179","王畿 (嘉靖進士)","Q11573179","中国哲学家","https://zh.wikipedia.org/wiki/%E7%8E%8B%E7%95%BF_(%E5%98%89%E9%9D%96%E9%80%B2%E5%A3%AB)","false","awaiting-scope-review","2026-07-17"
"Q343932","王韬 (1828年)","Q343932","清朝思想家","https://zh.wikipedia.org/wiki/%E7%8E%8B%E9%9F%AC_(1828%E5%B9%B4)","false","awaiting-scope-review","2026-07-17"
"Q6752664","王廷相","Q6752664","明朝思想家;中国哲学家","https://zh.wikipedia.org/wiki/%E7%8E%8B%E5%BB%B7%E7%9B%B8","false","awaiting-scope-review","2026-07-17"
"Q11573223","王通 (隋朝)","Q11573223","中国哲学家","https://zh.wikipedia.org/wiki/%E7%8E%8B%E9%80%9A_(%E9%9A%8B%E6%9C%9D)","false","awaiting-scope-review","2026-07-17"
"Q110407016","王炜 (哲学家)","Q110407016","中国哲学家","https://zh.wikipedia.org/wiki/%E7%8E%8B%E7%82%9C_(%E5%93%B2%E5%AD%A6%E5%AE%B6)","false","awaiting-scope-review","2026-07-17"
"Q378462","王陽明","Q378462","明朝思想家;中国哲学家","https://zh.wikipedia.org/wiki/%E7%8E%8B%E9%99%BD%E6%98%8E","false","awaiting-scope-review","2026-07-17"
"Q597003","魏源","Q597003","中国思想家","https://zh.wikipedia.org/wiki/%E9%AD%8F%E6%BA%90","true","already-included","2026-07-17"
"Q10310709","无能子","Q10310709","中国思想家","https://zh.wikipedia.org/wiki/%E6%97%A0%E8%83%BD%E5%AD%90","false","awaiting-scope-review","2026-07-17"
"Q9621698","吳與弼","Q9621698","中国思想家;中国哲学家","https://zh.wikipedia.org/wiki/%E5%90%B3%E8%88%87%E5%BC%BC","false","awaiting-scope-review","2026-07-17"
"Q76117416","吴家麟","Q76117416","中国逻辑学家","https://zh.wikipedia.org/wiki/%E5%90%B4%E5%AE%B6%E9%BA%9F","false","awaiting-scope-review","2026-07-17"
"Q109413517","吴潜涛","Q109413517","中国伦理学家","https://zh.wikipedia.org/wiki/%E5%90%B4%E6%BD%9C%E6%B6%9B","false","awaiting-scope-review","2026-07-17"
"Q10566153","项安世","Q10566153","中国哲学家","https://zh.wikipedia.org/wiki/%E9%A1%B9%E5%AE%89%E4%B8%96","false","awaiting-scope-review","2026-07-17"
"Q9334257","萧功秦","Q9334257","中国哲学家","https://zh.wikipedia.org/wiki/%E8%90%A7%E5%8A%9F%E7%A7%A6","false","awaiting-scope-review","2026-07-17"
"Q9072105","谢选骏","Q9072105","中国思想家","https://zh.wikipedia.org/wiki/%E8%B0%A2%E9%80%89%E9%AA%8F","false","awaiting-scope-review","2026-07-17"
